scenario_id,name,category,database,volume,trial,time_ms
S4,Wyszukiwanie pelnotekstowe po tytule (LIKE),SELECT,mysql,small,2,0.578
S4,Wyszukiwanie pelnotekstowe po tytule (LIKE),SELECT,mysql,small,3,0.709
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,mysql,small,1,0.86
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,mysql,small,2,0.941
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,mysql,small,3,0.812
S6,Filmografia osoby (JOIN people->content),SELECT,mysql,small,1,0.594
S6,Filmografia osoby (JOIN people->content),SELECT,mysql,small,2,0.532
S6,Filmografia osoby (JOIN people->content),SELECT,mysql,small,3,0.683
U1,Aktualizacja postepu ogladania,UPDATE,mysql,small,1,10.307
U1,Aktualizacja postepu ogladania,UPDATE,mysql,small,2,9.117
U1,Aktualizacja postepu ogladania,UPDATE,mysql,small,3,11.07
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,mysql,small,1,0.973
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,mysql,small,2,0.991
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,mysql,small,3,0.835
U3,Masowa zmiana planu subskrypcji (500 rekordow),UPDATE,mysql,small,1,16.683
U3,Masowa zmiana planu subskrypcji (500 rekordow),UPDATE,mysql,small,2,16.009
U3,Masowa zmiana planu subskrypcji (500 rekordow),UPDATE,mysql,small,3,13.828
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,mysql,small,1,9.081
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,mysql,small,2,11.267
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,mysql,small,3,11.188
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,mysql,small,1,9.437
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,mysql,small,2,11.534
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,mysql,small,3,9.543
U6,Masowa aktualizacja popularity_score (formula),UPDATE,mysql,small,1,1.562
U6,Masowa aktualizacja popularity_score (formula),UPDATE,mysql,small,2,1.514
U6,Masowa aktualizacja popularity_score (formula),UPDATE,mysql,small,3,1.437
D1,Usuniecie tresci z kaskada (CASCADE),DELETE,mysql,small,1,12.031
D1,Usuniecie tresci z kaskada (CASCADE),DELETE,mysql,small,2,9.956
D1,Usuniecie tresci z kaskada (CASCADE),DELETE,mysql,small,3,14.024
D2,Usuniecie profilu z historia (CASCADE),DELETE,mysql,small,1,9.971
D2,Usuniecie profilu z historia (CASCADE),DELETE,mysql,small,2,9.886
D2,Usuniecie profilu z historia (CASCADE),DELETE,mysql,small,3,12.062
D3,Czyszczenie starej historii ogladania,DELETE,mysql,small,1,18.098
D3,Czyszczenie starej historii ogladania,DELETE,mysql,small,2,14.067
D3,Czyszczenie starej historii ogladania,DELETE,mysql,small,3,13.973
D4,Usuniecie pozycji z my_list,DELETE,mysql,small,1,9.891
D4,Usuniecie pozycji z my_list,DELETE,mysql,small,2,11.94
D4,Usuniecie pozycji z my_list,DELETE,mysql,small,3,9.904
D5,Usuniecie subskrypcji z platnosciami (CASCADE),DELETE,mysql,small,1,10.029
D5,Usuniecie subskrypcji z platnosciami (CASCADE),DELETE,mysql,small,2,10.034
D5,Usuniecie subskrypcji z platnosciami (CASCADE),DELETE,mysql,small,3,9.888
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,mysql,small,1,14.033
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,mysql,small,2,14.063
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,mysql,small,3,13.85
I1,Rejestracja uzytkownika (embedded doc),INSERT,mongo,small,1,0.863
I1,Rejestracja uzytkownika (embedded doc),INSERT,mongo,small,2,0.771
I1,Rejestracja uzytkownika (embedded doc),INSERT,mongo,small,3,0.722
I2,Batch insert watch_history (1000 rekordow),INSERT,mongo,small,1,8.0
I2,Batch insert watch_history (1000 rekordow),INSERT,mongo,small,2,7.991
I2,Batch insert watch_history (1000 rekordow),INSERT,mongo,small,3,7.462
I3,Dodanie serialu z drzewem (embedded cast+seasons),INSERT,mongo,small,1,1.425
I3,Dodanie serialu z drzewem (embedded cast+seasons),INSERT,mongo,small,2,1.314
I3,Dodanie serialu z drzewem (embedded cast+seasons),INSERT,mongo,small,3,1.319
I4,Batch insert platnosci (1000 rekordow),INSERT,mongo,small,1,10.5
I4,Batch insert platnosci (1000 rekordow),INSERT,mongo,small,2,10.169
I4,Batch insert platnosci (1000 rekordow),INSERT,mongo,small,3,11.258
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mongo,small,1,2.595
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mongo,small,2,2.315
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mongo,small,3,2.294
I6,Import osob z powiazaniami (100 embedded cast),INSERT,mongo,small,1,44.562
I6,Import osob z powiazaniami (100 embedded cast),INSERT,mongo,small,2,39.82
I6,Import osob z powiazaniami (100 embedded cast),INSERT,mongo,small,3,36.543
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mongo,small,1,0.816
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mongo,small,2,0.691
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mongo,small,3,0.765
S2,Rekomendacje collaborative filtering,SELECT,mongo,small,1,11.406
S2,Rekomendacje collaborative filtering,SELECT,mongo,small,2,9.47
